id,url,owner_id,name,description,language,created_at,forked_from,deleted,updated_at,forked_commit_id
42157,https://api.github.com/repos/rsl/stringex,118098,stringex,"Some [hopefully] useful extensions to Ruby’s String class. It is made up of three libraries: ActsAsUrl [permalink solution with better character translation], Unidecoder [Unicode to Ascii transliteration], and StringExtensions [miscellaneous helper method",Ruby,2008-02-19 15:31:07,,f,2019-05-21 00:21:54,
15841,https://api.github.com/repos/plataformatec/simple_form,23965,simple_form,"Forms made easy for Rails! It's tied to a simple DSL, with no opinion on markup.",Ruby,2009-12-28 14:23:48,,f,2019-05-30 14:55:02,
5101,https://api.github.com/repos/blueimp/jQuery-File-Upload,10321,jQuery-File-Upload,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine,",JavaScript,2010-12-01 15:35:32,,f,2019-05-30 18:07:37,
129456,https://api.github.com/repos/jcupitt/libvips,82486,libvips,A fast image processing library with low memory needs.,C,2011-01-25 13:15:00,,f,2019-05-30 08:53:57,
122018,https://api.github.com/repos/jline/jline2,338235,jline2,The new Jline,Java,2011-04-06 14:53:44,,f,2019-05-28 20:42:27,
887676,https://api.github.com/repos/keenlabs/KeenClient-iOS,528985,KeenClient-iOS,Official iOS client for the Keen IO API. Build analytics features directly into your iOS apps.,C,2012-02-13 01:05:06,,f,2019-05-08 04:31:40,
608960,https://api.github.com/repos/treasure-data/td-client-java,131197,td-client-java,Java Client Library for Treasure Data,Java,2012-03-05 08:45:22,,f,2019-04-28 09:49:55,
74676,https://api.github.com/repos/buchen/portfolio,231526,portfolio,A simple tool to calculate the overall performance of an investment portfolio.,Java,2012-03-24 09:43:08,,f,2019-05-31 20:45:07,
347122,https://api.github.com/repos/jmueller17/Aixada,509446,Aixada,"Aixada helps self-managed consumption cooperatives to organize their flow of products, money, and information. ",PHP,2012-05-07 22:45:49,,f,2019-04-14 17:03:42,
37255,https://api.github.com/repos/qiniu/ruby-sdk,98634,ruby-sdk,Qiniu Resource (Cloud) Storage SDK for Ruby,Ruby,2012-05-23 12:54:30,,f,2019-05-31 03:02:53,
130401,https://api.github.com/repos/exoplatform/calendar,37575,calendar,eXo Calendar,Java,2012-05-24 22:06:21,,f,2019-05-10 14:12:03,
74261541,https://api.github.com/repos/JuliaData/DataFrames.jl,19121620,DataFrames.jl,Library for working with tabular data in Julia,Julia,2012-07-11 18:00:09,,f,2019-05-31 10:39:17,
34016958,https://api.github.com/repos/schubergphilis/seccubus,287710,seccubus,"Easy automated vulnerability scanning, reporting and analysis",JavaScript,2012-08-23 10:19:18,,f,2019-05-16 22:53:24,
28278574,https://api.github.com/repos/bountysource/core,654572,core,Bountysource is the funding platform for open-source software.,Ruby,2012-08-23 23:58:35,,f,2019-05-28 06:29:28,
925317,https://api.github.com/repos/ros-infrastructure/rep,797174,rep,ROS Enhancement Proposals,JavaScript,2012-09-23 01:50:29,,f,2019-05-31 17:42:07,
51827477,https://api.github.com/repos/CloudCompare/CloudCompare,948567,CloudCompare,CloudCompare main repository,C++,2012-11-06 20:15:51,,f,2019-05-30 14:47:19,
9884072,https://api.github.com/repos/exoplatform/gatein-portal,37575,gatein-portal,GateIn Portal - eXo Maintenance and productization,Java,2013-02-06 11:05:37,,f,2019-05-27 08:05:34,
2920869,https://api.github.com/repos/pubnub/objective-c,67932,objective-c,PubNub Objective-C based APIs for iOS and OS X,Objective-C,2013-03-01 00:10:41,,f,2019-05-23 18:28:44,
3196002,https://api.github.com/repos/jishi/node-sonos-http-api,1393130,node-sonos-http-api,"A simplified HTTP API for Sonos to simplify automation. Hostable on any node.js capable device, like a raspberry pi or similar.",JavaScript,2013-03-17 21:54:53,,f,2019-05-29 00:24:21,
3219349,https://api.github.com/repos/ciudadanointeligente/write-it,55354,write-it,App to create and send messages to public persons. It's a component of POPLUS project.,Python,2013-03-26 18:38:59,,f,2019-04-21 18:35:50,
3121852,https://api.github.com/repos/nodesign/weio,1752868,weio,weio,Python,2013-05-13 22:00:25,,f,2019-04-27 04:50:15,
7149279,https://api.github.com/repos/gulpjs/gulp,3095668,gulp,The streaming build system,JavaScript,2013-07-04 05:26:06,,f,2019-05-31 03:13:50,
4629982,https://api.github.com/repos/calonso-conabio/buscador,1809131,buscador,buscador y administrador de especies de la CONABIO,Ruby,2013-07-22 22:43:08,,f,2019-02-14 20:05:56,
5216839,https://api.github.com/repos/InnovaLangues/self,2074593,self,"",PHP,2013-09-03 13:16:56,,f,2019-04-08 14:21:51,
6612349,https://api.github.com/repos/edx/bok-choy,288514,bok-choy,UI-level acceptance test framework,Python,2013-11-25 18:51:25,,f,2019-05-28 02:32:30,
79048,https://api.github.com/repos/irods/irods,249242,irods,Middleware for your critical data.,C++,2013-11-26 18:10:18,,f,2019-05-31 08:09:02,
7303857,https://api.github.com/repos/gulpjs/plugins,3095668,plugins,The gulp plugin search website,JavaScript,2014-01-08 01:28:01,,f,2019-04-25 09:55:51,
8234517,https://api.github.com/repos/spacewalkproject/spacewalk,3373639,spacewalk,The master repository for the Spacewalk Project.,Java,2014-02-26 17:04:20,,f,2019-05-30 11:20:59,
11793729,https://api.github.com/repos/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,3861697,azure-activedirectory-identitymodel-extensions-for-dotnet,IdentityModel extensions for .Net,C#,2014-03-06 23:18:05,,f,2019-05-31 16:51:01,
8937352,https://api.github.com/repos/GitbookIO/gitbook,3684592,gitbook,Modern book format and toolchain using Git and Markdown,JavaScript,2014-03-31 03:01:56,,f,2019-05-31 14:05:10,
9549402,https://api.github.com/repos/Tivix/django-rest-auth,91095,django-rest-auth,This app makes it extremely easy to build Django powered SPA's (Single Page App) or Mobile apps exposing all registration and authentication related functionality as CBV's (Class Base View) and REST (JSON),Python,2014-04-30 19:50:41,,f,2019-05-30 11:40:38,
28108532,https://api.github.com/repos/alexwnovak/GitWrite,163087,GitWrite,"",C#,2014-05-31 23:48:54,,f,2019-02-26 23:54:18,
10559565,https://api.github.com/repos/OCA/stock-logistics-warehouse,4024425,stock-logistics-warehouse,Odoo Warehouse Management Addons,Python,2014-06-16 16:08:03,,f,2019-05-31 06:44:45,
12768381,https://api.github.com/repos/OCA/l10n-france,4024425,l10n-france,France Localization for Odoo,Python,2014-06-17 19:40:31,,f,2019-05-28 17:29:00,
72050067,https://api.github.com/repos/TeamAmaze/AmazeFileManager,37570105,AmazeFileManager,Amaze File Manager source code,Java,2014-07-14 19:47:53,,f,2019-05-31 08:32:01,
12656412,https://api.github.com/repos/easygenerator/personalized-learning,4723784,personalized-learning,Personalized learning template,JavaScript,2014-07-16 10:11:14,,f,2019-05-27 07:13:49,
61983716,https://api.github.com/repos/go-graphite/carbonapi,35223260,carbonapi,API server for github.com/dgryski/carbonzipper,Go,2014-07-24 22:46:07,,f,2019-05-30 12:38:49,
107485669,https://api.github.com/repos/protocolbuffers/protobuf,45549950,protobuf,Protocol Buffers - Google's data interchange format,C++,2014-08-26 15:52:15,,f,2019-05-31 12:33:29,
35276000,https://api.github.com/repos/jupyterhub/oauthenticator,12504206,oauthenticator,GitHub OAuth + JupyterHub Authenticator = OAuthenticator,Python,2014-09-23 21:37:06,,f,2019-05-30 13:35:31,
12384531,https://api.github.com/repos/broadinstitute/viral-ngs,2076,viral-ngs,Viral genomics analysis pipelines,Python,2014-09-25 19:00:24,,f,2019-05-31 11:59:38,
12938227,https://api.github.com/repos/osuosl-cookbooks/osl-jenkins,2489369,osl-jenkins,Manages Jenkins Master & Slave Servers,Ruby,2014-10-09 23:15:34,,f,2019-05-31 00:11:24,
13897299,https://api.github.com/repos/KittehOrg/KittehIRCClientLib,101601,KittehIRCClientLib,An IRC client library in Java,Java,2014-11-29 01:27:02,,f,2019-04-11 17:42:02,
